test_season,min_current_season_prior_events,min_prior_folds,min_prior_predictions,improvement_margin_sec,is_primary_setting,weighted_events,weighted_fraction,selected_mae,switches,selection_sequence,selected_events,diagnostic
2025,5.0,6.0,80.0,0.05,False,13,0.7222222222222222,0.5284537546811953,1,UUUUUWWWWWWWWWWWWW,"2025/monaco,2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,5.0,6.0,80.0,0.075,False,13,0.7222222222222222,0.5284537546811953,1,UUUUUWWWWWWWWWWWWW,"2025/monaco,2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,5.0,6.0,100.0,0.025,False,13,0.7222222222222222,0.5284537546811953,1,UUUUUWWWWWWWWWWWWW,"2025/monaco,2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,5.0,6.0,100.0,0.05,False,13,0.7222222222222222,0.5284537546811953,1,UUUUUWWWWWWWWWWWWW,"2025/monaco,2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,5.0,6.0,100.0,0.075,False,13,0.7222222222222222,0.5284537546811953,1,UUUUUWWWWWWWWWWWWW,"2025/monaco,2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,5.0,6.0,120.0,0.025,False,13,0.7222222222222222,0.5284537546811953,1,UUUUUWWWWWWWWWWWWW,"2025/monaco,2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,5.0,6.0,120.0,0.05,False,13,0.7222222222222222,0.5284537546811953,1,UUUUUWWWWWWWWWWWWW,"2025/monaco,2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,5.0,6.0,120.0,0.075,False,13,0.7222222222222222,0.5284537546811953,1,UUUUUWWWWWWWWWWWWW,"2025/monaco,2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,4.0,80.0,0.025,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,4.0,80.0,0.05,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,4.0,80.0,0.075,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,4.0,100.0,0.025,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,4.0,100.0,0.05,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,4.0,100.0,0.075,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,4.0,120.0,0.025,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,4.0,120.0,0.05,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,4.0,120.0,0.075,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,5.0,80.0,0.025,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,5.0,80.0,0.05,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,5.0,80.0,0.075,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,5.0,100.0,0.025,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,5.0,100.0,0.05,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,5.0,100.0,0.075,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,5.0,120.0,0.025,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,5.0,120.0,0.05,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,5.0,120.0,0.075,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,6.0,80.0,0.025,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,6.0,80.0,0.05,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,6.0,80.0,0.075,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,6.0,100.0,0.025,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,6.0,100.0,0.05,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,6.0,100.0,0.075,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,6.0,120.0,0.025,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,6.0,120.0,0.05,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,6.0,6.0,120.0,0.075,False,12,0.6666666666666666,0.5376676784011819,1,UUUUUUWWWWWWWWWWWW,"2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",
2025,,,,0.0,,13,0.7222222222222222,0.5284537546811953,1,UUUUUWWWWWWWWWWWWW,"2025/monaco,2025/barcelona,2025/montreal,2025/spielberg,2025/silverstone,2025/budapest,2025/zandvoort,2025/monza,2025/baku,2025/marina-bay,2025/mexico-city,2025/las-vegas,2025/yas-island",zero_margin_churn_check
